lat,lon
-23.6256776,-46.6851401
-23.623071,-46.6823715
-23.5560548,-46.7130349
-23.558273,-46.6372529
-23.5580327,-46.6339058
-23.5578592,-46.6339305
-23.5713193,-46.6561324
-23.5707183,-46.6547996
-23.5720041,-46.656532
-23.5723191,-46.6568567
-23.5731694,-46.6577096
-23.5732236,-46.657738
-23.5743125,-46.6587299
-23.5744157,-46.6592894
-23.5686122,-46.649197
-23.5689928,-46.6491029
-23.5695453,-46.6494263
-23.5703788,-46.6484915
-23.5682526,-46.6502366
-23.5662154,-46.6525925
-23.5662178,-46.6529364
-23.5659178,-46.6530161
-23.5660082,-46.6535446
-23.5702482,-46.6547807
-23.5693382,-46.6566993
-23.5698287,-46.6567898
-23.5701061,-46.6571529
-23.57033,-46.656999
-23.5710717,-46.6564156
-23.6275979,-46.6745107
-23.6336574,-46.6908932
-23.613501,-46.6780297
-23.6144994,-46.6787416
-23.5930986,-46.6370091
-23.5704874,-46.6459263
-23.5246382,-46.7328202
-23.5402542,-46.690438
-23.6055093,-46.6927139
-23.6039527,-46.6770159
-23.6044222,-46.6753368
-23.634987,-46.7118861
-23.5897587,-46.6804604
-23.5520663,-46.64585
-23.4925752,-46.6941444
-23.4817222,-46.5011301
-23.5839605,-46.7252342
-23.5895476,-46.629629
-23.5072768,-46.4888
-23.5072832,-46.488896
-23.5057039,-46.4883229
-23.5060779,-46.4883814
-23.5073523,-46.4904087
-23.4909821,-46.4791444
-23.5077848,-46.4923408
-23.4930706,-46.4807
-23.4931444,-46.4810648
-23.5076518,-46.4901904
-23.4724428,-46.7423819
-23.5856413,-46.6705447
-23.6616802,-46.7795267
-23.6616586,-46.7797444
-23.661682,-46.779429
-23.5022441,-46.4647837
-23.4876052,-46.6776388
-23.6019727,-46.6624822
-23.55457,-46.6475706
-23.547662,-46.6458516
-23.5356548,-46.7022009
-23.5372407,-46.7063805
-23.5368904,-46.7064316
-23.608311,-46.6027307
-23.5871151,-46.6409433
-23.5615009,-46.6550971
-23.5510136,-46.6490556
-23.5509945,-46.6489897
-23.5451017,-46.6929352
-23.6058938,-46.618681
-23.5332759,-46.6828222
-23.466885,-46.6400197
-23.6000019,-46.6728095
-23.5789245,-46.6288611
-23.5666506,-46.6512405
-23.5464307,-46.6509966
-23.56674,-46.6516575
-23.6002344,-46.7953291
-23.6244732,-46.6627979
-23.5697743,-46.5874652
-23.5666808,-46.5876372
-23.5676258,-46.5887709
-23.6446596,-46.7032002
-23.5881009,-46.7391163
-23.5890243,-46.7376957
-23.5871674,-46.7370388
-23.5871585,-46.737011
